STATE,STATE NAME,DATA
AL,Alabama,"AL,Alabama"
AK,Alaska,"AK,Alaska"
AZ,Arizona,"AZ,Arizona"
AR,Arkansas,"AR,Arkansas"
CA,California,"CA,California"
CO,Colorado,"CO,Colorado"
CT,Connecticut,"CT,Connecticut"
DE,Delaware,"DE,Delaware"
FL,Florida,"FL,Florida"
GA,Georgia,"GA,Georgia"
HI,Hawaii,"HI,Hawaii"
ID,Idaho,"ID,Idaho"
IL,Illinois,"IL,Illinois"
IN,Indiana,"IN,Indiana"
IA,Iowa,"IA,Iowa"
KS,Kansas,"KS,Kansas"
KY,Kentucky,"KY,Kentucky"
LA,Louisiana,"LA,Louisiana"
ME,Maine,"ME,Maine"
MD,Maryland,"MD,Maryland"
MA,Massachusetts,"MA,Massachusetts"
MI,Michigan,"MI,Michigan"
MN,Minnesota,"MN,Minnesota"
MS,Mississippi,"MS,Mississippi"
MO,Missouri,"MO,Missouri"
MT,Montana,"MT,Montana"
NE,Nebraska,"NE,Nebraska"
NV,Nevada,"NV,Nevada"
NH,New Hampshire,"NH,New Hampshire"
NJ,New Jersey,"NJ,New Jersey"
NM,New Mexico,"NM,New Mexico"
NY,New York,"NY,New York"
NC,North Carolina,"NC,North Carolina"
ND,North Dakota,"ND,North Dakota"
OH,Ohio,"OH,Ohio"
OK,Oklahoma,"OK,Oklahoma"
OR,Oregon,"OR,Oregon"
PA,Pennsylvania,"PA,Pennsylvania"
RI,Rhode Island,"RI,Rhode Island"
SC,South Carolina,"SC,South Carolina"
SD,South Dakota,"SD,South Dakota"
TN,Tennessee,"TN,Tennessee"
TX,Texas,"TX,Texas"
UT,Utah,"UT,Utah"
VT,Vermont,"VT,Vermont"
VA,Virginia,"VA,Virginia"
WA,Washington,"WA,Washington"
WV,West Virginia,"WV,West Virginia"
WI,Wisconsin,"WI,Wisconsin"
WY,Wyoming,"WY,Wyoming"
DC,District of Columbia,"DC,District of Columbia"
AS,American Samoa,"AS,American Samoa"
GU,Guam,"GU,Guam"
MP,Northern Mariana Islands,"MP,Northern Mariana Islands"
PR,Puerto Rico,"PR,Puerto Rico"
UM,United States Minor Outlying Islands,"UM,United States Minor Outlying Islands"
VI,Virgin Islands U.S.,"VI,Virgin Islands U.S."
